"-- Select Attribute --","-- Select Attribute --"
"Action","Action"
"Active","Active"
"Add Custom Column","Add Custom Column"
"Admin Grid Configuration","Admin Grid Configuration"
"Admin Grid Profiles","Admin Grid Profiles"
"Are you sure?","Are you sure?"
"Auto-filled for EAV. For computed columns, provide custom JSON.","Auto-filled for EAV. For computed columns, provide custom JSON."
"Back","Back"
"Block Type","Block Type"
"Code","Code"
"Column Code","Column Code"
"Column deleted.","Column deleted."
"Column not found.","Column not found."
"Column saved.","Column saved."
"Column Settings","Column Settings"
"Column Type","Column Type"
"Computed","Computed"
"Custom Columns","Custom Columns"
"Custom Columns — %s","Custom Columns — %s"
"Data Source","Data Source"
"Date","Date"
"Delete","Delete"
"Delete Column","Delete Column"
"EAV = post-load hydration (no JOINs, safe for large tables)","EAV = post-load hydration (no JOINs, safe for large tables)"
"EAV Attribute","EAV Attribute"
"EAV Attribute (auto-discovered)","EAV Attribute (auto-discovered)"
"Edit","Edit"
"Edit Column: %s","Edit Column: %s"
"Edit Custom Column: %s","Edit Custom Column: %s"
"Failed to delete.","Failed to delete."
"Failed to save: %s","Failed to save: %s"
"First Seen","First Seen"
"Grid Block ID","Grid Block ID"
"Grid not found.","Grid not found."
"Header Label","Header Label"
"ID","ID"
"Image / Thumbnail","Image / Thumbnail"
"Manage Columns","Manage Columns"
"New Custom Column","New Custom Column"
"No","No"
"Number","Number"
"Options (Dropdown)","Options (Dropdown)"
"Save Column","Save Column"
"Select an attribute — code, header, and type will auto-fill","Select an attribute — code, header, and type will auto-fill"
"Sort Order","Sort Order"
"Source","Source"
"Source Config (JSON)","Source Config (JSON)"
"Source Config must be valid JSON.","Source Config must be valid JSON."
"Static (from collection)","Static (from collection)"
"System","System"
"Text","Text"
"Type","Type"
"Unique identifier. Auto-filled for EAV attributes.","Unique identifier. Auto-filled for EAV attributes."
"Yes","Yes"
